,Max,Min,Mean,Standard Deviation,RMS,Skewness,Kurtosis,Crest Factor,Form Factor
2004-02-12 10:32:00,1.023,-0.911,-0.014540966796874999,0.10843615678854605,0.10940413919878957,0.20482471368391772,3.212467937462627,9.350651698298067,0.9911522322890849
2004-02-12 10:42:00,0.752,-0.681,-0.002460791015625,0.10979243798283218,0.10981733168262023,-0.023851829072401316,1.3948207248338713,6.847735129581664,0.999773317204064
2004-02-12 10:52:00,0.933,-0.786,-0.0015954589843750003,0.10985214603217672,0.10986104971344769,0.056556523742994046,2.6393970999448984,8.492545833428304,0.9999189550682959
2004-02-12 11:02:00,1.016,-0.935,-0.00314794921875,0.11062445389246962,0.11066653439923697,0.0335476276368568,2.6822241723947577,9.1807338642657,0.9996197540024562
2004-02-12 11:12:00,0.745,-0.771,-0.0011584960937500001,0.10750198222142786,0.1075055998723148,-0.0028919466461643636,1.5779475540966166,6.929871568409851,0.9999663491865425
2004-02-12 11:22:00,0.862,-0.781,-0.0008415527343749998,0.11051672154666935,0.11051722747318345,0.0774083670935708,1.8619533182619374,7.799688968936184,0.9999954221932121
2004-02-12 11:32:00,0.896,-0.718,-0.00185634765625,0.10737448765143588,0.10738791213109136,0.14560609416822745,1.8215620885308361,8.34358339052377,0.9998749907751341
2004-02-12 11:42:00,0.771,-0.776,-0.0017033203125000004,0.10622157257500743,0.10623263552958902,0.0014655201331623849,1.4444623046854907,7.2576567093193605,0.9998958610550662
2004-02-12 11:52:00,0.967,-0.769,-0.0013142089843750002,0.11058130918898358,0.11058641872246056,0.03415881712429478,2.384028234404089,8.744292573818544,0.9999537960127834
2004-02-12 12:02:00,0.781,-0.664,-0.0018962402343750003,0.10975704862407255,0.10977074854590418,0.006298839962666415,1.4610700501282965,7.114828042494396,0.9998751951497725
2004-02-12 12:12:00,0.61,-0.608,-0.002017041015625,0.10600711451678373,0.10602371468766728,0.06131529373030071,1.1010431219268417,5.753429803860244,0.9998434296427695
2004-02-12 12:22:00,0.867,-0.728,-0.0019226074218750004,0.10458900618373275,0.10460412281437871,0.10482599369101771,1.6356458157406646,8.288392241847886,0.9998554872385595
2004-02-12 12:32:00,0.615,-0.598,-0.0018608886718750003,0.1044083156429624,0.10442234914975398,-0.014967630417751112,1.1541168081963038,5.889543809419738,0.9998656082064246
2004-02-12 12:42:00,0.684,-0.642,-0.00175244140625,0.1048820014778149,0.10489408069125015,0.05491129749932544,1.5410221075142472,6.520863670213343,0.9998848437075224
2004-02-12 12:52:00,0.691,-0.679,-0.0015814453124999995,0.1036532012984731,0.10366273438415563,0.004041453239358524,1.2148258285260667,6.665847704144838,0.9999080374858027
2004-02-12 13:02:00,0.725,-0.671,-0.001826806640625,0.10471051355599553,0.10472389176238331,0.024802357960031628,1.3678722648986827,6.922966553277187,0.9998722525857029
2004-02-12 13:12:00,0.962,-0.757,-0.0016260742187499996,0.10869842208620069,0.10870793053018833,-0.03876002620466001,2.071963680854658,8.849400363967478,0.9999125321957536
2004-02-12 13:22:00,0.984,-0.769,-0.0014107910156250002,0.1042084010055714,0.10421540638377022,0.05814598709405821,2.3664645507173363,9.441982084457344,0.999932779821699
2004-02-12 13:32:00,0.676,-0.649,-0.001863330078125,0.1052158706448923,0.10522980038312282,0.08358976722176154,1.1522645067189918,6.42403575354895,0.9998676255378247
2004-02-12 13:42:00,0.918,-0.935,-0.0014248046875,0.10675392872795549,0.10676083037492612,0.026971789828588198,2.454534334902781,8.598659234628824,0.9999353541280412
2004-02-12 13:52:00,0.889,-0.662,-0.001846240234375,0.10560429971868143,0.10561785917984882,0.05764678117499253,1.9134272070242409,8.41713709123935,0.999871617723814
2004-02-12 14:02:00,0.693,-0.703,-0.0008227050781250001,0.10640370889756845,0.10640429169453469,0.0470121114313265,1.286294415069027,6.512895194015891,0.999994522805829
2004-02-12 14:12:00,0.972,-0.618,-0.0012916503906249999,0.10652327361328566,0.10652850378720535,0.17945628280560993,1.9628194175690936,9.124318519873386,0.9999509035259695
2004-02-12 14:22:00,0.669,-0.684,-0.0013483886718750001,0.10518441696694299,0.10519049149972219,0.0005211378383273382,1.2540634706652147,6.359890427945827,0.9999422520734279
2004-02-12 14:32:00,0.847,-0.681,-0.00237470703125,0.10797883046422302,0.10800230439164828,0.07317978781529454,1.3871096770587288,7.84242525908084,0.9997826534576509
2004-02-12 14:42:00,0.566,-0.688,-0.0019612792968750005,0.10657765496410335,0.10659309792566603,-0.004534355072090682,1.0221436512418487,5.309912283389182,0.9998551223122022
2004-02-12 14:52:00,0.608,-0.713,-0.002003857421875,0.1056121919542091,0.10562862258026053,-0.05995826835108895,1.6117814033702214,5.756015605883899,0.9998444491118973
2004-02-12 15:02:00,0.889,-0.981,-0.0023671386718750005,0.10743169160889007,0.10745514484796377,-0.037813487924652035,2.315079697783844,8.273219502498732,0.9997817392633281
2004-02-12 15:12:00,0.728,-0.535,-0.001291650390625,0.10654933334453434,0.10655456096709622,0.13291444602717284,1.201918634621796,6.832180559824225,0.9999509394763169
2004-02-12 15:22:00,0.776,-0.723,-0.0017863281249999997,0.10489599996066667,0.10490864841241045,-0.013129679289496047,2.0169447114910586,7.396911615422176,0.9998794336602828
2004-02-12 15:32:00,0.635,-0.64,-0.0014609863281249999,0.10486578328014323,0.10487340000828081,0.013843910520054,0.9567103155147638,6.054919550141984,0.9999273721636089
2004-02-12 15:42:00,0.637,-0.679,-0.0016982421875,0.1048930756021517,0.10490426159867149,-0.022277338263809694,1.1348653668755189,6.072203266984027,0.9998933694747066
2004-02-12 15:52:00,0.684,-0.667,-0.0018504394531250004,0.10423780101718724,0.1042516798144789,-0.02462200215615468,1.4339799597598866,6.561045358858604,0.9998668721950922
2004-02-12 16:02:00,0.745,-0.876,-0.0025443359374999995,0.10670147941985024,0.10672920611294735,0.028504399757737685,1.7138665763527499,6.9802824094053095,0.9997402145663131
2004-02-12 16:12:00,0.645,-0.657,-0.001690625,0.10812064836677643,0.10813122588650677,-0.021392214170725867,1.3170612035793914,5.964974453142557,0.999902178860513
2004-02-12 16:22:00,0.825,-0.63,-0.0011615234374999998,0.10287012251655513,0.10287416843527825,0.02298182885125904,1.4260701432703478,8.019505892959286,0.9999606711890394
2004-02-12 16:32:00,0.686,-0.754,-0.0014912109374999997,0.1062775495844697,0.1062854164318593,-0.03864830389726783,1.3467874107788491,6.454319162778102,0.9999259837553098
2004-02-12 16:42:00,0.764,-0.569,-0.0014645507812500002,0.10491320888570049,0.10492086955028299,-0.009009074662073903,1.1659735310362702,7.281678118706932,0.9999269862648362
2004-02-12 16:52:00,0.798,-0.752,-0.0022916015625,0.10743113392006884,0.10745294982354486,0.02086404312274924,1.8635272355485784,7.426506217934875,0.9997969725027387
2004-02-12 17:02:00,0.989,-0.869,-0.00211201171875,0.10678366386739423,0.1068019414032348,-0.0035480259279802853,2.57939501941053,9.260131295422738,0.9998288651348427
2004-02-12 17:12:00,0.845,-0.82,-0.0022390136718750003,0.10715702547295781,0.10717779907814107,-0.07219840388217394,2.2350071134668497,7.884095468166204,0.9998061762290145
2004-02-12 17:22:00,0.752,-0.676,-0.0013694335937499999,0.10525696743718882,0.1052633059248034,-0.025009201152063655,1.4013282831028464,7.143989953509571,0.9999397844523418
2004-02-12 17:32:00,0.654,-0.583,-0.001357373046875,0.10298557654047147,0.10299200728431855,0.04887261868917269,1.1630187833269021,6.3500073184764245,0.9999375607484828
2004-02-12 17:42:00,0.552,-0.61,-0.0013387695312500002,0.1018462416929053,0.10185255408401647,-0.013343209629197847,1.0842079579298094,5.41959899743569,0.999938024223664
2004-02-12 17:52:00,1.057,-0.835,-0.003328466796875,0.10697927980285221,0.10702843632250555,0.05725653187800495,3.1226253783323275,9.875880058781517,0.9995407153337714
2004-02-12 18:02:00,0.667,-0.82,-0.002097705078125,0.10495943365708407,0.10497783178374197,0.02319898835489217,1.2868363712489561,6.353722387542196,0.999824742744775
2004-02-12 18:12:00,0.745,-0.71,-0.00175927734375,0.10703658382411771,0.10704842790984252,-0.022318230266008425,1.7331429181368714,6.959466986544146,0.9998893576864596
2004-02-12 18:22:00,0.613,-0.613,-0.0029127441406250005,0.10654659963202986,0.1065838058337927,0.019549863485643096,1.0683230268869037,5.751342759855237,0.9996509206865736
