Max,Min,Mean,Standard Dev,RMS,Skewness,Kurtosis,Crest factor,Form factor,Standard Deviation,Crest Factor,Form Factor,Fault
0.706,-0.625,-0.1171530029296875,0.0888210613549743,0.1470163746958512,0.0347752411894924,1.0050805632698925,4.802186160967299,-1.2549091446173777,,,,Normal
0.422,-0.657,-0.1177661865234374,0.0887389900709152,0.1474560639509221,0.0220580922554479,1.032330024225927,2.861869418543916,-1.252108676556117,,,,Normal
0.466,-0.605,-0.1170844970703125,0.0872762339255019,0.1460333335135177,0.0533638785720135,0.9714326445813032,3.19105226723366,-1.247247391136853,,,,Normal
0.64,-0.713,-0.1169356201171875,0.0898792222779341,0.1474856488814303,-0.0105142025258653,1.0443268462217483,4.339405256402416,-1.261255113998857,,,,Normal
0.5,-0.647,-0.1177355468749999,0.0878541437891024,0.1469007186591615,-0.0168246600383726,0.8677710453541496,3.40365931878181,-1.2477176397297092,,,,Normal
0.479,-0.659,-0.116877978515625,0.0890374158477807,0.1469283149577648,0.0368327576969187,1.4077356436920745,3.260093196724476,-1.2571086257974804,,,,Normal
0.464,-0.623,-0.1174134277343749,0.0890677569830201,0.1473729441517972,0.0347802960550158,0.8888846885769057,3.14847479413908,-1.255162607850951,,,,Normal
0.569,-0.73,-0.118471533203125,0.0899193443247553,0.1487306130682983,-0.0173707276524931,1.3460170027614096,3.825708697500698,-1.2554122416335467,,,,Normal
0.505,-0.669,-0.1177671630859375,0.0894489583569048,0.1478851767848803,0.0129093574901062,1.0383674229082764,3.4148114840109574,-1.255742032921053,,,,Normal
0.493,-0.767,-0.1161996582031249,0.090141446287258,0.1470633962932207,-0.0270759128559454,1.1317368155204282,3.3522957610542155,-1.2656095428107352,,,,Normal
0.615,-0.676,-0.1173249999999999,0.0882744610194429,0.146824200490278,0.0271342741395813,1.0712812673124263,4.188682778086859,-1.2514314978928456,,,,Normal
0.454,-0.593,-0.1163331298828125,0.0902948299375644,0.1472628750572159,0.0042161674153468,0.9702164252226066,3.082922289977075,-1.265872199996341,,,,Normal
0.491,-0.786,-0.1179300537109375,0.0905907577131281,0.1487077085855788,-0.0227552785293498,1.1246240948321278,3.301779071644007,-1.2609822848896646,,,,Normal
0.54,-0.735,-0.1169618896484375,0.0905662093448657,0.147926068207309,-0.0280710644405572,1.0724611787387843,3.650472202392511,-1.264737331552553,,,,Normal
0.393,-0.62,-0.1166560791015625,0.0880515769688533,0.146155847347505,0.0286306528252979,0.7851642710648479,2.688910550842281,-1.2528781052229567,,,,Normal
0.444,-0.625,-0.1176696044921875,0.0899079973008611,0.1480857401986947,0.0083651700480117,0.7726170687145069,2.998263029271157,-1.2584876174078297,,,,Normal
0.437,-0.752,-0.11836953125,0.0910623422384601,0.1493435423858151,0.0057794801924617,1.0238340136011157,2.9261392425730155,-1.2616721618200637,,,,Normal
0.498,-0.635,-0.116135546875,0.0890496450814751,0.146345860677711,0.0124570574530558,1.1106680107765996,3.4028977498496964,-1.260129776073016,,,,Normal
0.713,-0.623,-0.116733056640625,0.0895497180986945,0.1471243105137306,0.0284281023599778,1.3046396775378255,4.846241912776597,-1.2603483087628575,,,,Normal
0.547,-0.679,-0.1170672363281249,0.0894935432603325,0.1473554768994543,0.0354187368244623,1.071546847009131,3.712111768829853,-1.258725169580626,,,,Normal
0.408,-0.667,-0.116488525390625,0.0896015173427773,0.1469619421863084,-0.0111783093228543,0.9775857583898242,2.776228960575147,-1.2616001592731636,,,,Normal
0.764,-0.72,-0.116825732421875,0.0910526843367913,0.1481169830702344,0.0146333786592403,1.0433361943204833,5.158085076832308,-1.2678455336822725,,,,Normal
0.483,-0.649,-0.11712080078125,0.0903769317992899,0.1479360414614412,0.0511550938710003,0.9097531395701032,3.264924458086784,-1.2631064719045573,,,,Normal
0.647,-0.635,-0.115469580078125,0.0894190614544775,0.1460438196762362,0.005573568364367,0.9699100678401696,4.430177199105933,-1.2647817683014446,,,,Normal
0.53,-0.669,-0.1159853271484375,0.0895615354877429,0.1465389672438646,0.0254087852506486,0.9342965565181188,3.616785418707052,-1.2634267699769015,,,,Normal
0.432,-0.679,-0.1174597412109375,0.090601216732888,0.1483413997305655,-0.0318096330119259,0.8697440612036385,2.9122011844612987,-1.262912706951822,,,,Normal
0.43,-0.649,-0.1183863525390624,0.0905752534325205,0.1490604062516739,-0.0227635364094915,0.8215022110310515,2.8847365360992447,-1.259101265092953,,,,Normal
0.557,-0.649,-0.1165867431640625,0.0917531992442786,0.1483607519518776,-0.0034303194987473,0.9113923985061444,3.7543622061222015,-1.2725353494359328,,,,Normal
0.579,-0.769,-0.1176181396484375,0.0899332340117111,0.1480601765957162,0.0297707411924857,1.0459006576656176,3.9105721289322832,-1.2588209355994788,,,,Normal
0.627,-0.686,-0.116887255859375,0.0909896688400927,0.148126798017832,0.0001731255343501,1.2673877681162509,4.232860011761811,-1.2672621743814467,,,,Normal
0.698,-0.784,-0.1159155029296874,0.0911886292877071,0.147484124294601,0.0215675958736825,1.2447508342869351,4.732712780704031,-1.2723416675685093,,,,Normal
0.422,-0.642,-0.1184333740234375,0.0893239751296644,0.1483409647443654,-0.0086771669102541,0.853129507173596,2.8447974618961704,-1.2525267135850515,,,,Normal
0.571,-0.747,-0.116069384765625,0.0917516637568808,0.1479535885183889,0.0443607936465759,1.3162387697289557,3.859318355965602,-1.274699515441963,,,,Normal
0.596,-0.613,-0.1175109130859375,0.0916586121551212,0.1490298989015344,0.0241572119271028,1.094244321575048,3.99919750595673,-1.268221776070675,,,,Normal
0.535,-0.627,-0.1180825927734375,0.0916540977498172,0.1494783170253872,0.0289769257578441,1.025005462318659,3.579114420382028,-1.2658793604929397,,,,Normal
0.569,-0.74,-0.11595166015625,0.091392544496573,0.1476386831481463,0.0231506275858495,1.186854266785951,3.85400348924166,-1.2732778724271536,,,,Normal
0.425,-0.62,-0.1157419921874999,0.0901107642681716,0.1466831972366382,-0.0191835339158872,0.7549532579126454,2.8974007112373226,-1.267329121128432,,,,Normal
0.54,-0.757,-0.11797685546875,0.0911949109408679,0.1491135378427081,-0.0056750812787695,0.9499178361748156,3.621401569652362,-1.263921955287287,,,,Normal
0.396,-0.679,-0.1158475341796874,0.0918980676432704,0.1478705509190439,0.0298923734507338,1.0288900578149391,2.6780180200775865,-1.2764238096745897,,,,Normal
0.427,-0.679,-0.11646669921875,0.0930291050139164,0.1490593677605922,0.0002508424925689,0.8862869320112097,2.8646304248775203,-1.279845387226319,,,,Normal
0.457,-0.774,-0.1175443359375,0.0927956111674373,0.1497580920445119,-0.0245952410116663,1.155283213915177,3.0515880227972456,-1.2740562175972514,,,,Normal
0.464,-0.64,-0.117535400390625,0.0914964355130855,0.1489495339766962,0.0226854028304544,0.8316624708193037,3.115149054931549,-1.267273804161703,,,,Normal
0.449,-0.627,-0.1158576416015625,0.0907255490198689,0.1471527009851554,0.0031535783056275,0.8918994455023754,3.0512521822164484,-1.2701164890894072,,,,Normal
0.591,-0.771,-0.118220751953125,0.0922984235945713,0.149983123074002,-0.0001703559082036,1.1970661134568903,3.940443350472167,-1.268670014326004,,,,Normal
0.308,-0.632,-0.1165234619140624,0.0870100956407036,0.1454245133631674,-0.0370360507518962,0.393821004570551,2.117937291843186,-1.2480277445791974,,,,Normal
0.332,-0.591,-0.1177860107421875,0.0880550918253504,0.1470613961025558,-0.0286322209412707,0.3079813949011898,2.2575605073711804,-1.248547218603463,,,,Normal
