,Max,Min,Mean,Standard Dev,RMS,Skewness,Kurtosis,Crest factor,Form factor
2003-10-22 12:06:00,0.701,-0.72,-0.09423649902343752,0.07606737804689197,0.12110583175616094,0.06805201873337262,1.8905324736192899,5.788325713425757,-1.285126601806809
2003-10-22 12:09:00,0.581,-0.654,-0.094396875,0.07469197020003947,0.12037243961451474,0.0060360881667776345,1.552990362017436,4.826686256925725,-1.2751739886994642
2003-10-22 12:14:00,0.549,-0.623,-0.0960247802734375,0.0750342822025542,0.12186371271850806,0.03355343698348254,1.4291510405254453,4.505032611866425,-1.2690860876899934
2003-10-22 12:19:00,0.535,-0.598,-0.09545964355468749,0.0761960896022588,0.12214027130321693,0.043026362899636864,1.3696973667178716,4.380209690805797,-1.2794964107868734
2003-10-22 12:24:00,0.388,-0.623,-0.095314013671875,0.07725290042573729,0.1226891442754691,0.003917820006732847,1.2032274560338774,3.1624639840085518,-1.28720992379814
2003-10-22 12:29:00,0.703,-0.591,-0.095550439453125,0.07694784004094726,0.12268134337265284,0.014260112658060731,1.4960073166657786,5.730292648203159,-1.283943266768937
2003-10-22 12:34:00,0.439,-0.667,-0.0952057373046875,0.07623359147415207,0.1219653680393601,0.008839094757995988,1.0176779803866802,3.599382407129932,-1.2810716191297757
2003-10-22 12:39:00,0.437,-0.603,-0.09557248535156251,0.07573034467369646,0.12193869379300942,0.01198047435649868,1.1105655214068433,3.5837680920365296,-1.2758765594978414
2003-10-22 12:44:00,0.579,-0.696,-0.0954998291015625,0.07644363503016141,0.12232621970910534,0.04119277844690012,1.2777356111683904,4.733245263173142,-1.2809051163747467
2003-10-22 12:49:00,0.479,-0.625,-0.09479807128906251,0.07649927634891113,0.12181408263225998,0.04700052799659528,1.2072073488570316,3.93222187163725,-1.2849848206385872
2003-10-22 12:54:00,0.342,-0.557,-0.095508837890625,0.0763159379541202,0.12225350019752756,-0.014831723801827738,0.9122727798006185,2.7974659167011446,-1.2800229057077426
2003-10-22 12:59:00,0.437,-0.557,-0.095355517578125,0.07588278139630845,0.12186357398362523,0.0035050747837199045,0.9527384013799076,3.585977217923377,-1.2779918464999376
2003-10-22 13:04:00,0.535,-0.552,-0.0952107177734375,0.0751170390281375,0.12127453390239101,-0.006988098370537806,1.0737202503881909,4.411478509005032,-1.273748762098136
2003-10-22 13:09:00,0.42,-0.623,-0.09531728515625,0.07530125869840577,0.12147232597000232,0.022513687451236344,1.2510314977275785,3.457577655207815,-1.274399766746161
2003-10-22 13:14:00,0.432,-0.688,-0.0954250244140625,0.07544195940747193,0.12164409386110392,-0.02508301418113855,0.9965018446342224,3.551343812000176,-1.2747609404140492
2003-10-22 13:19:00,0.598,-0.588,-0.09544389648437501,0.08208203614425857,0.1258842068923734,0.031058535533087153,0.9206384704247856,4.750397327531873,-1.3189340704775367
2003-10-22 13:24:00,0.515,-0.613,-0.0954225830078125,0.07704119640663785,0.12264041090008704,0.008639240964851521,1.1438045224624398,4.199268383237572,-1.2852346586556573
2003-10-22 13:29:00,0.532,-0.518,-0.095821240234375,0.07853238976137031,0.12389066047105055,0.05715983196404486,1.4551818628037516,4.2941089988321774,-1.292935263288378
2003-10-22 13:34:00,0.483,-0.645,-0.09481743164062499,0.07761579601571021,0.12253330183502666,-0.02232318884278895,1.1552033432788962,3.9417855616939916,-1.292307750957121
2003-10-22 13:39:00,0.488,-0.601,-0.09584794921874999,0.0771287339347171,0.12302652450761127,-0.015863602193469717,1.1124023223457993,3.9666242865359407,-1.2835592781107157
2003-10-22 13:44:00,0.574,-0.615,-0.09499790039062501,0.07741141963133695,0.12254379897006468,0.04408560660349548,1.5516227185975877,4.684039541978115,-1.289963235673344
